linha,smell
1,LONG METHOD
2,LONG PARAMETER LIST
3,DUPLICATE CODE
4,LONG PARAMETER LIST
5,PRIMITIVE OBSESSION; SINGLE RESPONSIBILITY PRINCIPLE
6,DUPLICATE CODE
7,DATA DUPLICATION
8,LONG PARAMETER LIST
9,DUPLICATE CODE
10,INAPPROPRIATE INTIMACY
11,LONG PARAMETER LIST
12,DUPLICATE CODE
13,LONG PARAMETER LIST
14,LARGE CLASS
15,CONDITIONAL COMPLEXITY
16,LONG PARAMETER LIST
17,LONG METHOD
18,MAGIC NUMBERS
19,PRIMITIVE OBSESSION
20,DUPLICATED LOGIC
21,LONG PARAMETER LIST
22,PRIMITIVE OBSESSION
23,LONG PARAMETER LIST
24,NOT FOUND
25,PRIMITIVE OBSESSION
26,PRIMITIVE OBSESSION
27,LONG PARAMETER LIST; SINGLE RESPONSIBILITY PRINCIPLE VIOLATION
28,PRIMITIVE OBSESSION
29,LONG METHOD; NESTED CONDITIONAL
30,LONG METHOD
31,PRIMITIVE OBSESSION
32,CONDITIONAL LOGIC
33,PRIMITIVE OBSESSION; LONG METHOD
34,PRIMITIVE OBSESSION; DATA CLUMP
35,MULTIPLE RESPONSIBILITIES
36,LONG METHOD; FEATURE ENVY
37,ENCAPSULATION BREAKDOWN
38,LARGE CLASS; SWITCH STATEMENT
39,SWITCH STATEMENT; PRIMITIVE OBSESSION
40,INDECENT EXPOSURE
41,LONG METHOD; DUPLICATED CONDITIONAL LOGIC
42,FEATURE ENVY
43,MAGIC STRING
44,ENCAPSULATION VIOLATION
45,INDECENT EXPOSURE; FEATURE ENVY
46,PRIMITIVE OBSESSION; ENCAPSULATION; INAPPROPRIATE INTIMACY
47,FEATURE ENVY; PRIMITIVE OBSESSION; SINGLE RESPONSIBILITY PRINCIPLE
48,SWITCH STATEMENT; SINGLE RESPONSIBILITY PRINCIPLE
49,PRIMITIVE OBSESSION
50,LONG METHOD; CONDITIONAL COMPLEXITY
51,MAGIC NUMBER; LACK OF SEPARATION OF CONCERNS
52,MAGIC NUMBER
53,LONG METHOD; DUPLICATED CODE
54,INDECENT EXPOSURE
55,LONG METHOD; PRIMITIVE OBSESSION
56,INDECENT EXPOSURE
57,INDECENT EXPOSURE
58,DATA CLUMPING
59,FEATURE ENVY
60,LONG METHOD; MAGIC NUMBER
61,NOT HANDLING DIVISION BY ZERO PROPERLY; PUBLIC INTERFACE THAT EXPOSED TOO MUCH FUNCTIONALITY
62,ENCAPSULATION
63,FEATURE ENVY; SINGLE RESPONSIBILITY PRINCIPLE
64,DUPLICATED LOGIC
65,VIOLATES ENCAPSULATION
66,LAZY CLASS
67,DUPLICATED CODE; INAPPROPRIATE INTIMACY
